name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
金沢地区生活改善センター,岩手県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=39.4346043,141.813204"
米沢市営体育館,福島県,,,11.4,-0.8,-0.5,2.7,9.3,15.6,19.8,23.4,24.5,20.1,13.5,7.1,1.7,,"https://www.google.com/maps?q=37.9207591,140.1165446"
小鎚託児所,岩手県,,,11.5,0.5,0.8,4.6,9.4,14.9,17.6,21.6,23.3,20.2,13.9,8.1,2.7,,"https://www.google.com/maps?q=39.3794575,141.830521"
山吹体育館,茨城県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=36.53603,140.5184053"
佐々木宅,岩手県,,,11.5,0.5,0.8,4.6,9.4,14.9,17.6,21.6,23.3,20.2,13.9,8.1,2.7,,"https://www.google.com/maps?q=39.3173381,141.9438385"
行方市立北浦中学校,茨城県,,,13.8,2.8,3.7,7.1,12.0,16.6,19.9,23.8,25.3,21.9,16.4,10.6,5.1,,"https://www.google.com/maps?q=36.0882189,140.5048621"
上山市体育文化センター,山形県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=38.1463411,140.2707021"
志和公民館,岩手県,,,10.4,-2.0,-1.3,2.4,8.5,14.4,18.6,22.2,23.3,19.1,12.6,6.1,0.5,,"https://www.google.com/maps?q=39.538419,141.1206745"
水沢公民館,岩手県,,,11.1,-1.2,-0.4,3.3,9.2,15.1,19.3,22.8,23.9,19.8,13.3,6.7,1.3,,"https://www.google.com/maps?q=39.1480221,141.1320075"
江刺総合支所,岩手県,,,11.1,-1.2,-0.4,3.3,9.2,15.1,19.3,22.8,23.9,19.8,13.3,6.7,1.3,,"https://www.google.com/maps?q=39.1914426,141.1737362"
山田町立豊間根中学校,岩手県,,,10.9,0.5,0.8,3.7,8.7,13.4,16.9,20.8,22.4,19.3,13.7,8.0,2.9,,"https://www.google.com/maps?q=39.5296613,141.9252178"
