name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,free_parking,tags,website,map
えびの高原キャンプ村,,,,,,,,,,,,,,,,,,,https://ebino-village.com/,"https://www.google.com/maps?q=31.9438075,130.8390427"
長瀞オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.1048648,139.1139403"
大池キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.4852845,138.0878497"
松原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.6587283,140.0643853"
曽原湖キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.6811411,140.0719221"
西興部森林公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.3281454,142.9466547"
豊浦海浜公園,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.5851847,140.7028511"
Takaoka Auto Camp Site,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.5870241,140.6954513"
鹿川キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.7059507,131.5014232"
中標津町緑ヶ丘森林公園 林間キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.5636494,144.9563621"
白州観光キャンプ場尾白,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.7946758,138.2962451"
アルトリ岬キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.5002126,140.7809635"
かなやま湖キャンプ場,,,フリー,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.159501,142.49126"
キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.762907,140.4771"
生出キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=40.412575,140.86687"
青少年旅行,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=30.2717479,130.4160711"
せせらぎパーク鹿野オート,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.2395004,131.8188567"
井戸江峡キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.6504262,130.8426859"
大津市立葛川森林キャンプ村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.2500882,135.8672876"
しらかば公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.0539601,139.523776"
小滝沢キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.7348455,140.6156517"
城里町総合野外活動センターふれあいの里管理事務所,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.4389186,140.3553313"
太田山野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.83165,137.630104"
円山公園,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=31.3622718,131.0126415"
さたでいランド,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=31.1125668,130.7222199"
神川キャンプ場,,鹿児島県肝属郡錦江町,,,,,,,,,,,,,,,,,http://www.town.kinko.lg.jp/kinko03/kinko04.asp,"https://www.google.com/maps?q=31.272469,130.7921693"
賽の河原公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.2502386,139.5584198"
いこいの森,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.6477777,140.839366"
摂津峡青少年キャンプ場,,高槻市,,,,,,,,,,,,,,,,,https://www.city.takatsuki.osaka.jp/soshiki/60/4910.html,"https://www.google.com/maps?q=34.8766514,135.584265"
うさぎの森オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.1478083,139.717674"
一の瀬キャンプ場 (ichinose camp area),,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.1035481,137.616807"
阿寺渓谷キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6653431,137.6291683"
こだまの森,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.9686363,137.7457886"
キャンピングフィールド木曽古道,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.8362881,137.742323"
ふるさとの森 森林公園 キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=45.0214273,141.8456545"
秋山浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.4197254,140.0789914"
丸火自然公園東 西グリーンキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.2337708,138.7251809"
美笛キャンプ場,,,,,,,,,,,,,,,,,,,https://www.shikotuko.jp/,"https://www.google.com/maps?q=42.7315098,141.2639554"
境渓谷キャンプ場,,,,,,,,,,,,,,,,,,,https://sakaikeikoku-c.jimdo.com/,"https://www.google.com/maps?q=35.8003505,139.0814456"
西蔵王公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.2017945,140.3494463"
古竜湖キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.1866497,140.3464446"
豊岡市大師山自然公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4930306,134.8240625"
神鍋高原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4989335,134.6786311"
久保井野キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9448169,133.4729599"
庄原市ほたる見公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9192597,132.8788816"
イオックスアローザ オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.5164334,136.8034807"
瀬波川キャンプ場,,白山市,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.309548,136.676576"
新平ヶ原,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.1897104,131.7710778"
デイキャンプコーナー,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6056578,139.643104"
川井キャンプ場,,,,,,,,,,,,,,,,,,,http://www.okutamas.co.jp/kawai/,"https://www.google.com/maps?q=35.8115683,139.1649173"
水根沢キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.796109,139.0427575"
清東園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.8436285,139.1537614"
鳩ノ巣バンガロー,,,,,,,,,,,,,,,,,,,http://www.hatonosu.com/,"https://www.google.com/maps?q=35.8147579,139.1300498"
黒部市宇奈月明日キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.8720666,137.5657857"
笠戸島家族旅行村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9693505,131.8533476"
白浜,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9528296,131.856399"
ほろかない湖公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.0105035,142.1918679"
鶉ダムオートキャンプ場・ハチャムの森,,厚沢部町,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=41.9488185,140.3871154"
青年小屋テントサイト,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.9449866,138.3485475"
レイクサイドパーク・のとろ キャンプ場,,,フリー,,,,,,,,,,,,,,,,https://www.city.abashiri.hokkaido.jp/040shisetsu/050sports/410lakesidepark_notoro/040camp.html,"https://www.google.com/maps?q=44.0450088,144.186753"
浜小清水前浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.934887,144.4509674"
日の出岬キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.5287988,143.0607451"
小平町望洋台キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.0322567,141.666466"
知内町ファミリースポーツ広場キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=41.5987742,140.4136998"
日進湖畔キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.2442908,142.5036687"
十勝ダムキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.2382862,142.9390051"
２１世紀の森 ふれあい広場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.7174691,142.6685254"
２１世紀の森 ファミリーゾーン,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.7159165,142.6792958"
ほたるの里オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.8859234,141.9254549"
丸瀬布いこいの森オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.9318566,143.3373544"
菖蒲ヶ浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.7515948,139.4509786"
小島公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.439605,130.4174189"
紫尾 神の湯キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=31.9756803,130.4308201"
山のふるさと村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.7677639,139.0225429"
賀老高原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.6060289,139.9998063"
Sameura Campsite,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.749205,133.5436521"
Camping area,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.606692,133.1684476"
コムケ国際キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.2555513,143.5201814"
DASH島船屋,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.8526053,132.5216064"
水晶浜,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6861792,135.9775697"
つつじ公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.7608067,143.5202984"
Shobudani Camping Ground,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9079049,130.7808218"
秋吉台オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.2889329,131.325936"
湖畔キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.5770437,144.3068099"
見近島キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.1958295,133.0748433"
一の宮,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.0855228,133.638669"
日向サンパーク オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.3475831,131.6251936"
石並川キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.3299355,131.5908499"
ニセコ野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.8731433,140.6393543"
湯本温泉野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.8688336,140.6008024"
小平のキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.4644637,139.3093089"
安平町ときわキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.7621705,141.8296976"
キムアネップ岬キャンプ場,,,フリー,,,,,,,,,,,,,,,,https://www.town.saroma.hokkaido.jp/kakuka/keizaika/kimuaneppu.html,"https://www.google.com/maps?q=44.1073775,143.9068871"
雷鳥沢キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.5871118,137.6011915"
健康村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.4064476,132.0314696"
寂地峡,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.4294697,132.0550814"
日高沙流川オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.8698672,142.4414012"
鶴沼公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.4478206,141.8367914"
Kannogawa camping ground,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.5289024,139.1081383"
耳浦キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.1272505,133.045358"
大沼野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.6377497,141.8970481"
虹ヶ浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9709456,131.9161626"
Daiwanachi field,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.5700081,136.6386634"
yoshikawa campsite,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.8920418,137.9781689"
camping ground,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9608209,137.9000933"
名草キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.4305712,139.4518029"
無人島キャンプ場 ありが島,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9177029,132.464842"
北金井キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.3531941,139.3510314"
梅ヶ島キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.2578665,138.3248702"
茅ヶ崎市柳島 キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.3161626,139.3776869"
石城山キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9878585,132.0390204"
室積キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.942928,131.9648383"
第2キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.0374375,139.8131081"
奥多摩福音の家,,,,,,,,,,,,,,,,,,,http://www1.odn.ne.jp/ofi/,"https://www.google.com/maps?q=35.814437,139.1469545"
胎内平キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.0200124,139.5027199"
八島キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.7524567,132.145001"
新生キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.173906,136.06279"
関沢,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.0294419,139.4129442"
タキタロウ公園オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.4772891,139.7611568"
白い森オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.1618527,139.7862395"
印旛沼サンセットヒルズ,,,,,,,,,,,,,,,,,,,http://sunsethills.shiteikanri-sakura.jp/,"https://www.google.com/maps?q=35.7479577,140.2023952"
町立キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9143907,135.6463555"
大池公園,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.5076076,138.7635616"
weランド,,,,,,,,,,,,,,,,,,,https://notoweland.jp/,"https://www.google.com/maps?q=37.1502592,136.9733963"
あさひプライム,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.1135172,137.8337689"
北今西キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.1159295,135.6177611"
宮の向いキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.1170399,135.6146171"
ババ平キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.323436,137.6757225"
ならここの里キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.875908,138.0172084"
明ヶ島キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9010249,138.0123343"
